Data,Capital
2014-01-31,100000.0
2014-02-28,98855.97934465458
2014-03-31,105827.15842062175
2014-04-30,108369.19330800395
2014-05-31,107556.83368668528
2014-06-30,111606.03707046746
2014-07-31,117191.796637209
2014-08-31,128650.89527487983
2014-09-30,113596.00327462793
2014-10-31,114672.85207498058
2014-11-30,114746.32129137889
2014-12-31,104970.71726946408
2015-01-31,98465.54293750918
2015-02-28,108278.93112785743
2015-03-31,107370.01196498665
2015-04-30,118031.44482461848
2015-05-31,110749.5959193098
2015-06-30,111423.41358970589
2015-07-31,106771.7626314574
2015-08-31,97873.59096538548
2015-09-30,94584.26919120886
2015-10-31,96284.55677071307
2015-11-30,94712.31553978883
2015-12-31,90996.8723105019
2016-01-31,84817.06165116816
2016-02-29,89829.76133000272
2016-03-31,105071.47505195322
2016-04-30,113165.68357858057
2016-05-31,101748.56735028022
2016-06-30,108161.38038162008
2016-07-31,120296.39581015552
2016-08-31,121541.17424799007
2016-09-30,122519.3643863221
2016-10-31,136285.39641890043
2016-11-30,129948.15172442741
2016-12-31,126423.72845777615
2017-01-31,135752.21981989543
2017-02-28,139931.5686727261
2017-03-31,136409.24452654336
2017-04-30,137288.77600285478
2017-05-31,131637.943701589
2017-06-30,132034.67747013998
2017-07-31,138374.0212850815
2017-08-31,148691.19838787543
2017-09-30,155952.05608849888
2017-10-31,155981.44377505823
2017-11-30,151075.79924011836
2017-12-31,160377.00203614682
2018-01-31,178242.61634375193
2018-02-28,179434.91676987338
2018-03-31,179193.51791599317
2018-04-30,180765.75914691738
2018-05-31,161115.89244106715
2018-06-30,152738.3026511891
2018-07-31,166292.32351644657
2018-08-31,160956.35928545936
2018-09-30,166548.41621360648
2018-10-31,183513.50784021494
2018-11-30,187879.6784147442
2018-12-31,184485.4006171414
2019-01-31,204441.73891139607
2019-02-28,200642.3308633682
2019-03-31,200287.5795041877
2019-04-30,202256.55450366292
2019-05-31,203677.65906085348
2019-06-30,211941.89634543125
2019-07-31,213715.65314133375
2019-08-31,212294.5485841432
2019-09-30,219872.37347551374
2019-10-31,225067.6966351099
2019-11-30,227194.10566972443
2019-12-31,243422.40601188104
2020-01-31,238798.04361972338
2020-02-29,218669.5774470497
2020-03-31,153277.77661159975
2020-04-30,168991.79243896808
2020-05-31,183469.42631037594
2020-06-30,199533.99525598774
2020-07-31,216024.68565670986
2020-08-31,208587.50183673043
2020-09-30,198583.09368374653
2020-10-31,197216.56625873758
2020-11-30,228569.02957660737
2020-12-31,250437.66661768712
2021-01-31,243512.6681920275
2021-02-28,230976.72075400403
2021-03-31,244828.81672579184
2021-04-30,249572.82898465535
2021-05-31,264942.5890551858
2021-06-30,266172.6736497407
2021-07-31,255674.97218665373
2021-08-31,249335.62837171217
2021-09-30,232958.29047629036
2021-10-31,217261.06761267025
2021-11-30,213931.86254959166
2021-12-31,220034.00575159
2022-01-31,235915.95121644024
2022-02-28,237498.68804970707
2022-03-31,251892.35710237402
2022-04-30,226444.71966246137
2022-05-31,233739.16329058114
2022-06-30,206851.52920926124
2022-07-31,216555.76313524626
2022-08-31,229901.97107411988
2022-09-30,230980.91899494105
2022-10-31,243575.64180608318
2022-11-30,236121.66502235556
2022-12-31,230968.32427212992
2023-01-31,238317.34503243136
2023-02-28,220264.90900312763
2023-03-31,213862.59157413038
2023-04-30,219215.34876886578
2023-05-31,227408.2159575137
2023-06-30,247878.8387665567
2023-07-31,255973.04729318403
2023-08-31,242956.40126786867
2023-09-30,244683.97741346367
2023-10-31,237502.88629064412
2023-11-30,267283.1083775897
2023-12-31,281670.4800688511
2024-01-31,268166.8380948382
2024-02-29,270828.52284892625
2024-03-31,268909.92674069555
2024-04-30,264329.64587837685
2024-05-31,256298.41096580526
2024-06-30,260095.7198933646
2024-07-31,267956.92604798585
2024-08-31,285488.7802010957
2024-09-30,276697.66367891844
2024-10-31,272283.2133336131
2024-11-30,263792.2710384348
2024-12-31,252488.50731543478
