Data,Retorno,MSE,R2,Rentabilidade Acumulada
2021-01-01,0.16687364299365723,0.028622161438244302,-0.01668857500858345,0.16687364299365726
2021-02-01,-0.07256643066536785,0.03581325416087271,-0.16081274764338804,0.0821977876841129
2021-03-01,0.2106728047310847,0.026727427947355997,-0.23683357990203935,0.3101874308892998
2021-04-01,-0.02024440502898734,0.012177292370317944,-0.11890964437594254,0.2836634658744883
2021-05-01,0.02204528170815845,0.014299481890838942,-0.36254430284285455,0.3119621885981625
2021-06-01,-0.07431819293470768,0.018623333503555498,-0.08298931996061021,0.21445952954288305
2021-07-01,-0.32229188077353776,0.021539424380454777,-1.2007759483990066,-0.17695091635683857
2021-08-01,-0.08379814374452448,0.012940570814813918,-0.45099161556865086,-0.2459209017767673
2021-09-01,-0.10055837577597744,0.01761028691944084,-0.34929782481412164,-0.3217498711007094
2021-10-01,-0.13939437190867043,0.017848330813323796,-0.8600369535723473,-0.41629412181560077
2021-11-01,0.02965668621187193,0.014919375220150676,-0.17997707868474122,-0.3989833397462609
2021-12-01,-0.026289863738715318,0.016774664302784327,-0.29858750683251545,-0.4147839858490294
2022-01-01,0.07219629745961684,0.017025094646902994,-0.41218217453804495,-0.3725335564132546
2022-02-01,-0.15662880746241153,0.01717308176703445,-0.3071186320283721,-0.47081287719492704
2022-03-01,0.2914677363984891,0.019820766679093205,-0.19265471009432988,-0.31657190437970306
2022-04-01,-0.16613482037402239,0.024812624588321466,-0.792802532954554,-0.4301131082841413
2022-05-01,-0.23840197835551907,0.02117184202389207,-0.5313069625159741,-0.5659752707080795
2022-06-01,-0.11505471107046075,0.01989326142956355,-0.5391213182624184,-0.6159118605341963
2022-07-01,0.11239379109684604,0.029098709165580727,-0.8282868965934849,-0.5727427384243006
2022-08-01,-0.05585519171349983,0.015473644586355507,-0.22593833770712535,-0.5966072746805962
2022-09-01,0.14203607152730952,0.013091394556102578,-0.17038441737745824,-0.539310956693533
2022-10-01,-0.11625126568954156,0.02098035973585737,-0.23506731888227983,-0.5928666410672139
2022-11-01,-0.11471545268451684,0.027388832127312412,-0.8285199929663178,-0.6395711286401563
2022-12-01,-0.2655356464695714,0.04806929401514867,-0.07895322212820233,-0.7352778420029904
2023-01-01,0.10208369905580861,0.02541199632942485,-0.2376197889177556,-0.7082540248926195
2023-02-01,-0.04284933302464426,0.02631514020925474,-0.6153288286373884,-0.7207551453385952
2023-03-01,0.17371766545179596,0.06116941081934953,-0.02971452786701434,-0.6722453810973898
2023-04-01,1.1985802019247367,0.037335527144996716,-0.08636388569613218,-0.27940518379133417
2023-05-01,0.14813188324236354,0.028027073509258864,-0.4056677379225244,-0.17266211661165975
2023-06-01,0.12712422153998582,0.01346267774849951,-0.03577995532345746,-0.06748743223537756
2023-07-01,-0.1645493427441232,0.011457883025574711,-0.2791364303990225,-0.22093176236168077
2023-08-01,-0.2985652772495433,0.022719869542346734,-0.5003148849891788,-0.4535344867284786
2023-09-01,-0.18790877870153028,0.020220055962435462,-0.5129464541938371,-0.5562201539298351
2023-10-01,-0.12352862796311606,0.023300292690045615,-0.5715619232878155,-0.6110396694325655
2023-11-01,0.07854807907608137,0.017420850577882247,-0.14270890040086526,-0.5804875826296958
2023-12-01,-0.04281719578770892,0.017795969446382422,-0.13224523856108195,-0.5984499279396152
2024-01-01,-0.26463874240899027,0.020950961175247522,-0.1466989336235891,-0.7047156340239149
2024-02-01,0.048783666076380225,0.01343966029233053,-0.1846824088051644,-0.6903105801165619
2024-03-01,-0.14880384601396746,0.017992166341440727,-0.45736297034395457,-0.7363935568650519
2024-04-01,-0.07827152207101842,0.011665416139389075,-0.21023631274623145,-0.7570264343969516
2024-05-01,-0.12496535463369032,0.015001031567612172,-1.048981425635826,-0.7873897121891488
2024-06-01,0.09361094505452669,0.015489865088411854,-0.5036203191593815,-0.7674870622188601
2024-07-01,-0.4237627476941128,0.023044960726792338,-0.3489000547961325,-0.8660173836074263
2024-08-01,-0.04653553916605999,0.022172111310696394,-0.08290438835136804,-0.872252336900134
2024-09-01,-0.26297333174369947,0.019730922274326365,-0.45331356339797235,-0.9058465654879775
2024-10-01,0.02169626062551384,0.02203790278032225,-0.270675139499571,-0.9038037880340174
2024-11-01,0.018430287173010665,0.032746557414270364,-0.3343893870409853,-0.9020308642225285
